Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Latin America & Caribbean;LCN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.0635312407505;;;;;;;;;;92.7832552400251;;;;;;;;;;94.7457038540732;;96.4068906012439;;;;
Least developed countries: UN classification;LDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.878233335271;;;;;;;;;;23.5792127785114;;;;;;;;;;31.435198132867;;34.3374657642783;;;;
Low income;LIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0337728378809;;;;;;;;;;17.487235294301;;;;;;;;;;22.6685144004033;;25.4200352741029;;;;
Liechtenstein;LIE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Sri Lanka;LKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.28773;;;;;;;;;;80.7;;;;;;;;;;85.1;;88.66256;;;;
Lower middle income;LMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.0411323206831;;;;;;;;;;64.7888762136735;;;;;;;;;;74.8115297610785;;78.0282878370954;;;;
Low & middle income;LMY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.2466067623449;;;;;;;;;;75.0956700041868;;;;;;;;;;79.8315617547928;;81.6441324685752;;;;
Lesotho;LSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.387741;;;;;;;;;;5;;;;;;;;;;17;;20.56256;;;;
Late-demographic dividend;LTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.4598090425529;;;;;;;;;;95.7797132572277;;;;;;;;;;98.2416548669568;;98.8517335230557;;;;
Lithuania;LTU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Luxembourg;LUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Latvia;LVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Macao SAR, China;MAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.80292;;;;;;;;;;84;;;;;;;;;;87.54047;;90.54264;;;;
St. Martin (French part);MAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81.13573;;;;;;;;;;85.4112;;;;;;;;;;87.87328;;90.87544;;;;
Morocco;MAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2;;;;;;;;;;71.1;;;;;;;;;;98.9;;100;;;;
Monaco;MCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Moldova;MDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.21566;;;;;;;;;;95.05585;;;;;;;;;;98.6;;100;;;;
Madagascar;MDG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;11.39801;;;;;;;;;;14.3;;15.4;;;;
Maldives;MDV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.51566;;;;;;;;;;96.35585;;;;;;;;;;99.9;;100;;;;
Middle East & North Africa;MEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.9062044351578;;;;;;;;;;90.4999937918372;;;;;;;;;;94.6305227773229;;96.2013119712851;;;;
Mexico;MEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;;;;;;;;;;98;;;;;;;;;;99;;99.1;;;;
Marshall Islands;MHL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.85883;;;;;;;;;;52.53027;;;;;;;;;;55.8;;59.32891;;;;
Middle income;MIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74.7331326880303;;;;;;;;;;80.381915952257;;;;;;;;;;85.9393698794734;;87.8447436239047;;;;
Macedonia, FYR;MKD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.61566;;;;;;;;;;95.45585;;;;;;;;;;99;;100;;;;
Mali;MLI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.03774;;;;;;;;;;16.7;;;;;;;;;;16.6;;25.6;;;;
Malta;MLT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Myanmar;MMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.28774;;;;;;;;;;47;;;;;;;;;;48.8;;52.36256;;;;
Middle East & North Africa (excluding high income);MNA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.5347705909291;;;;;;;;;;90.2297207305781;;;;;;;;;;94.5731366782061;;95.8971400794669;;;;
Montenegro;MNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;100;;;;;;;;;;100;;100;;;;
Mongolia;MNG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79.81566;;;;;;;;;;82.65585;;;;;;;;;;86.2;;89.76256;;;;
Northern Mariana Islands;MNP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;MOZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.43774;;;;;;;;;;7.1;;;;;;;;;;15;;20.2;;;;
Mauritania;MRT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.81566;;;;;;;;;;14.65585;;;;;;;;;;18.2;;21.76256;;;;
